site_name,context,material,lab_ref,c14_bp,error
Åby,,Charcoal,Beta-251693,3130,40
Adal vestre 1,Possible post hole (ID 4050),Charcoal (Picea),LuS-15264,665,35
Adal vestre 1,Possible post hole (ID 4050),Charcoal (Pinus),LuS-15265,770,35
Adal vestre 1,Fireplace (ID 6032),Charcoal (Pinus),LuS-15266,1885,35
Adal vestre 1,Cooking pit/fireplace (ID 11556),Nutshell (Corylus),LuS-15267,2250,35
Adal vestre 1,Cooking pit (ID 11508),Charcoal (Pinus),LuS-15268,2445,35
Adal vestre 1,Cooking pit (ID 11508),Charcoal (Betula),LuS-15269,1020,35
Adal vestre 1,Cooking pit/fireplace (ID 11521),Nutshell (Corylus),LuS-15270,7950,45
Adal vestre 1,"Quadrant (574x401ySW, layer 2/3)",Nutshell (Corylus),LuS-15271,8020,45
Adal vestre 1,Cooking pit/fireplace (ID 11485),Charcoal (Coniferae indet.),LuS-16260,3255,35
Adal vestre 2,Cooking pit/fireplace (ID 10036),Nutshell (Corylus),LuS-15272,8140,45
Adal vestre 2,Cooking pit/fireplace (ID 10051),Nutshell (Corylus),LuS-15273,8000,45
Adal vestre 2,Layer,Charcoal (Salix),LuS-15274,7850,45
Adalstjern,Lake,Peat (NA),T-8853,164,72
Alveberget 8,Fireplace (ID 1332),Charcoal (Tilia),LuS-14200,2950,40
Alveberget 8,Profile bench (ID 1770),Charcoal (hardwood),LuS-14201,3480,40
Alveberget 8,Profile bench (ID 1770),Charcoal (Alnus/Betula),LuS-14202,1215,40
Alveberget 8,Profile bench (ID 1770),Charcoal (Corylus),LuS-14203,1690,40
Alveberget 8,Profile bench (ID 1306),Charcoal (Alnus),LuS-14204,4070,40
Alveberget 8,Fireplace (ID 1752),Charcoal (Alnus),LuS-14205,3975,40
Alveberget 8,Profile bench (ID 1306),Charcoal (Corylus),LuS-14206,1670,40
Alveberget 8,Profile bench (ID 1306),Charcoal (Corylus),LuS-14207,1190,35
Alveberget 8,Profile bench (ID 1306),Charcoal (Alnus/Corylus),LuS-14208,3095,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Corylus),LuS-14209,1750,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Alnus),LuS-14210,3280,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Salix/Populus),LuS-14211,3500,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Pomoideae),LuS-14212,4360,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Alnus),LuS-14213,4165,40
Alveberget 8,Profile bench (ID 1600),Charcoal (Pinus),LuS-14214,4155,40
Alveberget 8,Profile bench (ID 1750),Charcoal (Corylus),LuS-14215,1690,40
Alveberget 8,Profile bench (ID 1750),Charcoal (Alnus),LuS-14216,4145,40
Alveberget 8,Profile bench (ID 1537),Charcoal (Alnus),LuS-14217,4095,40
Alveberget 8,Profile bench (ID 2504),Charcoal (Corylus),LuS-14218,1175,35
Alveberget 8,Profile bench (ID 2502),Charcoal (Quercus),LuS-14219,4090,40
Alveberget 8,"Square (253x351y, layer 8)",Charcoal (Alnus/Betula),LuS-14220,4130,40
Alveberget 8,"Square (253x347y, layer 8)",Charcoal (Tilia),LuS-14221,3605,40
Alveberget 8,Cultural layer,Cereal (Triticum dicoccum/spelta),LuS-15168,3290,45
Amundsrød,Cooking pit,Charcoal (Salix),T-15483,2466,99
Anvik,Fireplace (ID 10520),Nutshell (Corylus),Ua-46950,7818,49
Anvik,Fireplace (ID 10520),Charcoal (Salix),Ua-46951,7875,52
Anvik,Fireplace (ID 10520),Charcoal (Salix),Ua-46952,7744,49
Anvik,Fireplace (ID 10520),Charcoal (Pinus),Ua-46953,7678,49
Ås Østre,Pit,Charcoal (Pinus),T-12652,2111,47
Asdal 3,Hearth,sjekk (sjekk),Ua-72931,5172,29
Asdal 3,Hearth,sjekk (sjekk),Ua-72933,5359,30
Asdal 3,Layer,sjekk (sjekk),Ua-72934,1261,27
Asdal 3,Layer,sjekk (sjekk),Ua-72935,1264,27
Asdal 3,Layer,sjekk (sjekk),Ua-72936,1138,27
Asdal 3,Hearth,sjekk (sjekk),Ua-72937,5352,30
Asdal 4,Cooking pit,sjekk (sjekk),Ua-73146,1195,30
Asdal 4,Layer,sjekk (sjekk),Ua-73147,5514,34
Asdal 4,Layer,sjekk (sjekk),Ua-73148,4255,32
Asdal 4,Layer,sjekk (sjekk),Ua-73149,4068,32
Asdal 5,Cairn,sjekk (sjekk),Ua-72938,1157,29
Asdal 5,Cairn,sjekk (sjekk),Ua-72939,2290,31
Asdal 5,Cairn,sjekk (sjekk),Ua-72940,1134,29
Auve,Food crust,Food crust (NA),TUa-2154,4937,130
Auve,Food crust,Food crust (NA),TUa-2151,4874,59
Auve,Food crust,Food crust (NA),TUa-2159,4818,89
Auve,Food crust,Food crust (NA),TUa-2153,4811,96
Auve,Food crust,Food crust (NA),TUa-2157,4646,84
Auve,Food crust,Food crust (NA),TUa-740,4583,87
Auve,Food crust,Food crust (NA),TUa-2395,4567,70
Auve,Food crust,Food crust (NA),TUa-2386,4566,69
Auve,Food crust,Food crust (NA),TUa-2148,4543,74
Auve,Food crust,Food crust (NA),TUa-2152,4529,61
Auve,Food crust,Food crust (NA),TUa-2155,4528,93
Auve,Food crust,Food crust (NA),TUa-1213,4515,70
Auve,Food crust,Food crust (NA),TUa-1217,4511,65
Auve,Food crust,Food crust (NA),TUa-2387,4504,66
Auve,Food crust,Food crust (NA),TUa-668,4481,68
Auve,Food crust,Food crust (NA),TUa-2385,4458,68
Auve,Food crust,Food crust (NA),TUa-2591,4447,74
Auve,Food crust,Food crust (NA),TUa-2394,4444,72
Auve,Food crust,Food crust (NA),TUa-2160,4442,88
Auve,Food crust,Food crust (NA),TUa-1215,4440,67
Auve,Food crust,Food crust (NA),TUa-672,4439,55
Auve,Food crust,Food crust (NA),TUa-1216,4438,98
Auve,Food crust,Food crust (NA),TUa-2384,4435,70
Auve,Food crust,Food crust (NA),TUa-1218,4433,66
Auve,Food crust,Food crust (NA),TUa-1220,4432,66
Auve,Square (ID AE21),Charcoal (Pinus/Betula),TUa-3724,4420,80
Auve,Food crust,Food crust (NA),TUa-2161,4417,46
Auve,Food crust,Food crust (NA),TUa-671,4415,54
Auve,Food crust,Food crust (NA),TUa-2391,4401,69
Auve,Food crust,Food crust (NA),TUa-2158,4387,72
Auve,Food crust,Food crust (NA),TUa-739,4382,60
Auve,Food crust,Food crust (NA),TUa-2392,4380,65
Auve,Food crust,Food crust (NA),TUa-2150,4370,75
Auve,Food crust,Food crust (NA),TUa-2393,4364,73
Auve,Square (ID AC22),Charcoal (Salix/Pinus),TUa-3723,4365,55
Auve,Square (ID AC22),Charcoal (Betula/Pinus),TUa-3725,4355,55
Auve,Food crust,Food crust (NA),TUa-669,4345,72
Auve,Food crust,Food crust (NA),TUa-2390,4340,67
Auve,Food crust,Food crust (NA),TUa-670,4332,88
Auve,"Excavation unit, unknown",Charcoal (Ulmus/Salix/Tilia/Pinus),T-4838,4330,190
Auve,Food crust,Food crust (NA),TUa-1214,4320,65
Auve,Food crust,Food crust (NA),TUa-1219,4291,68
Auve,Food crust,Food crust (NA),TUa-2590,4268,74
Auve,Food crust,Food crust (NA),TUa-2389,4250,67
Auve,Square (ID W14),Charcoal (Salix/Corylus/Pinus/Betula),TUa-3721,4240,45
Auve,Square (ID W12),"Charcoal (Decid, indet.)",TUa-3720,4230,60
Auve,Square (ID R9),Charcoal (Salix/Decid. indet./Pinus),TUa-3719,4150,55
Auve,"Excavation unit, unknown",Charcoal (Pinus/Populus),T-3816,4150,110
Auve,Square (ID S11),"Charcoal (Decid, indet./Pinus)",TUa-4122,4130,40
Auve,Food crust,Food crust (NA),TUa-673,4130,72
Auve,Square (ID Q11),Charcoal (Salix/Pinus/Betula),TUa-3718,4095,70
Auve,Square (ID Z17),Charcoal (Betula/Salix/Pinus),TUa-4123,4090,45
Auve,Food crust,Food crust (NA),TUa-2156,3928,75
Auve,Food crust,Food crust (NA),TUa-674,3596,58
Auve,Sand layer,Charcoal (Pinus/Sorbus/Betula),TUa-3716,1640,40
Auve,Sand layer,Charcoal (Salix/Pinus/Corylus),TUa-3717,1215,70
Auve,Pit,Charcoal (NA),T-3817,640,80
Auve,Sand layer,Charcoal (Pinus/Betula),TUa-3722,130,65
Auve,House remains,Bone (Bos taurus),T-10977,183,57
Auve,"Excavation unit, unknown",Charcoal (Pinus),T-3437,3570,160
Auve,"Excavation unit, unknown",Charcoal (Pinus),T-3438,4240,160
Auve,"Excavation unit, unknown",Charcoal (Pinus),T-3436,3570,160
Bakke,Fireplace (ID 2),Charcoal (Betula),TUa-7852,2115,30
Bakke,Fireplace (ID 2),Charcoal (Betula),TUa-7853,6915,40
Barkåker,Posthole,Charcoal (Betula),TUa-2891,3557,55
Barkåker,Hearth,Charcoal (Betula),TUa-2890,3111,57
Barkåker,Cooking pit,"Charcoal (Betula, )",T-15059,1595,101
Basberg,Cultural layer,Charcoal (deciduous tree),T-10292,3379,99
Basberg,Cultural layer,Charcoal (Alnus),T-10294,1883,81
Basberg,Pit,Charcoal (NA),T-10293,1872,122
"Basberg syd, 87/6",Posthole,Charcoal (Alnus),LuS-12326,3265,40
"Basberg syd, 87/6",Cooking pit,Charcoal (Populus),LuS-12321,3010,40
"Basberg syd, 87/6",Pit,Charcoal (Alnus),LuS-12324,2155,35
"Basberg syd, 87/6",Cooking pit,Charcoal (Alnus),LuS-12319,1620,40
"Basberg syd, 87/6",Hearth,Charcoal (Alnus),LuS-12320,1460,35
"Basberg syd, 87/6","Circular ditch, grave",Charcoal (Betula),LuS-12325,1250,35
Berg søndre,Cultural layer,Charcoal (Betula),TUa-2952,3198,64
Berg søndre,Cultural layer,Charcoal ((Betula?)),TUa-2951,2646,61
Bjønnum,Artefact,Wood (Quercus),T-5741,160,80
Bjorstaddalen,Layer,Charcoal (Tilia),Ua-72619,1121,30
Bjorstaddalen,Layer,Charcoal (Pinus),Ua-72620,8289,36
Blåfjell 1,layer 2 (c. 15 cm depth from surface),Charcoal (Populus),LuS-16703,220,30
Blåfjell 1,hearth,Charcoal (Picea),LuS-16704,150,30
Blåfjell 1,hearth(?),Charcoal (Pinus),LuS-16705,185,30
Blåfjell 1,hearth,Charcoal (Pinus),LuS-16706,8625,50
Blåfjell 1,hearth(?),Charcoal (Pinus),LuS-16707,7015,35
Blåfjell 1,hearth,Charcoal (Populus),LuS-16708,8275,40
Blåfjell 1,hearth,Nutshell (Corylus),LuS-16709,1600,30
Blåfjell 1,hearth(?),Nutshell (Corylus avellana),LuS-16387,6980,50
Blåfjell 2,"hearth/cooking pit, layer 3",Charcoal (Pomoideae),LuS-16710,8345,40
Blåfjell 2,"hearth/cooking pit, layer 3",Charcoal (Salix),LuS-16711,8320,45
Blåfjell 2,"hearth/cooking pit, layer 3",Charcoal (Pinus),LuS-16712,4095,35
Blåfjell 2,layer 2 (15-20 cm depth from surface),Charcoal (Salix),LuS-16713,4990,35
Blåfjell 2,layer 2 (15-20 cm depth from surface),Charcoal (Pinus),LuS-16714,6135,40
Blåfjell 2,714x/935y layer 2 (15-20 cm),Charcoal (Indet. ),LuS-16388,6525,40
Blåfjell 2,"725x/934y, layer 3 (20-30 cm)",Nutshell (Corylus avellana),LuS-16389,1615,30
Blåfjell 3,hearth,Charcoal (Quercus),LuS-16715,3410,35
Blåfjell 3,hearth,Charcoal (Populus),LuS-16716,7920,40
Blåfjell 3,hearth/cooking pit,Nutshell (Corylus),LuS-16717,7975,50
Blåfjell 3,hearth/cooking pit,Charcoal (Populus),LuS-16718,7975,40
Blåfjell 3,hearth/cooking pit,Charcoal (Populus/Salix),LuS-16719,8000,40
Blåfjell 3,hearth/cooking pit,Charcoal (Pomoideae),LuS-16720,8205,50
Blåfjell 3,possible cultivation layer,Charcoal (Salix),LuS-16721,8400,45
Blåfjell 3,hearth/cooking pit,Charcoal (Populus),LuS-16722,2260,35
Blåfjell 3,hearth/cooking pit,Charcoal (Salix/Populus),LuS-16723,2190,30
Blåfjell 3,hearth/cooking pit,Charcoal (Frangula),LuS-16724,1350,30
Blåfjell 3,wide and deep cooking pit,Charcoal (Corylus),LuS-16725,2245,30
Blåfjell 3,hearth/cooking pit,Charcoal (Pinus),LuS-16726,8495,40
Blåfjell 3,hearth/cooking pit,Charcoal (Pinus),LuS-16727,4940,35
Blåfjell 3,layer 2 (15-20 cm depth from surface),Charcoal (Frangula),LuS-16728,1855,30
Blåfjell 3,layer 2 (c. 15 cm depth from surface),Burnt Bone (Mammalia),LuS-16729,8185,40
Blåfjell 3,layer 2 (c. 15 cm depth from surface),Burnt Bone (Mammalia),LuS-16730,8030,40
Blåfjell 3,layer 2 (c. 15 cm depth from surface),Burnt Bone (Mammalia),LuS-16731,7995,40
Blåfjell 3,"741x/953y, layer 1 (5-10 cm)",Nutshell (Corylus avellana),LuS-16390,7925,40
